income,year,access,pcnt
high,2000,safe,92
high,2000,basic,6.07
high,2000,limited,0.15
high,2000,unimproved,1.58
high,2000,surface,0.2
high,2001,safe,91.99
high,2001,basic,6.11
high,2001,limited,0.16
high,2001,unimproved,1.55
high,2001,surface,0.2
high,2002,safe,92.43
high,2002,basic,6.43
high,2002,limited,0.14
high,2002,unimproved,0.9
high,2002,surface,0.09
high,2003,safe,92.41
high,2003,basic,6.47
high,2003,limited,0.14
high,2003,unimproved,0.88
high,2003,surface,0.09
high,2004,safe,92.42
high,2004,basic,6.48
high,2004,limited,0.15
high,2004,unimproved,0.87
high,2004,surface,0.09
high,2005,safe,92.43
high,2005,basic,6.48
high,2005,limited,0.13
high,2005,unimproved,0.89
high,2005,surface,0.07
high,2006,safe,92.43
high,2006,basic,6.49
high,2006,limited,0.14
high,2006,unimproved,0.87
high,2006,surface,0.07
high,2007,safe,94.47
high,2007,basic,4.48
high,2007,limited,0.15
high,2007,unimproved,0.84
high,2007,surface,0.06
high,2008,safe,94.52
high,2008,basic,4.45
high,2008,limited,0.15
high,2008,unimproved,0.81
high,2008,surface,0.06
high,2009,safe,94.58
high,2009,basic,4.42
high,2009,limited,0.16
high,2009,unimproved,0.79
high,2009,surface,0.06
high,2010,safe,94.67
high,2010,basic,4.35
high,2010,limited,0.16
high,2010,unimproved,0.76
high,2010,surface,0.06
high,2011,safe,94.77
high,2011,basic,4.27
high,2011,limited,0.17
high,2011,unimproved,0.74
high,2011,surface,0.05
high,2012,safe,94.89
high,2012,basic,4.17
high,2012,limited,0.17
high,2012,unimproved,0.72
high,2012,surface,0.05
high,2013,safe,95
high,2013,basic,4.08
high,2013,limited,0.17
high,2013,unimproved,0.7
high,2013,surface,0.05
high,2014,safe,95.11
high,2014,basic,4
high,2014,limited,0.18
high,2014,unimproved,0.67
high,2014,surface,0.04
high,2015,safe,95.2
high,2015,basic,4.14
high,2015,limited,0.06
high,2015,unimproved,0.58
high,2015,surface,0.01
high,2016,safe,95.29
high,2016,basic,4.07
high,2016,limited,0.06
high,2016,unimproved,0.57
high,2016,surface,0.01
high,2017,safe,95.37
high,2017,basic,4.01
high,2017,limited,0.06
high,2017,unimproved,0.55
high,2017,surface,0.01
high,2018,safe,95.44
high,2018,basic,3.94
high,2018,limited,0.06
high,2018,unimproved,0.54
high,2018,surface,0.01
high,2019,safe,95.51
high,2019,basic,3.88
high,2019,limited,0.06
high,2019,unimproved,0.53
high,2019,surface,0.01
high,2020,safe,95.59
high,2020,basic,3.81
high,2020,limited,0.06
high,2020,unimproved,0.53
high,2020,surface,0.01
high,2021,safe,94.2
high,2021,basic,5.2
high,2021,limited,0.06
high,2021,unimproved,0.52
high,2021,surface,0.01
high,2022,safe,94.3
high,2022,basic,5.12
high,2022,limited,0.06
high,2022,unimproved,0.51
high,2022,surface,0.01
low,2000,safe,18.91
low,2000,basic,22.51
low,2000,limited,10.15
low,2000,unimproved,31.68
low,2000,surface,16.76
low,2001,safe,19.05
low,2001,basic,22.94
low,2001,limited,10.5
low,2001,unimproved,31.18
low,2001,surface,16.33
low,2002,safe,19.28
low,2002,basic,23.37
low,2002,limited,10.87
low,2002,unimproved,30.62
low,2002,surface,15.86
low,2003,safe,19.56
low,2003,basic,23.8
low,2003,limited,11.28
low,2003,unimproved,29.99
