income,year,safe,basic,limited,unimproved,surface
high,2000,92,6.07,0.15,1.58,0.2
high,2001,91.99,6.11,0.16,1.55,0.2
high,2002,92.43,6.43,0.14,0.9,0.09
high,2003,92.41,6.47,0.14,0.88,0.09
high,2004,92.42,6.48,0.15,0.87,0.09
high,2005,92.43,6.48,0.13,0.89,0.07
high,2006,92.43,6.49,0.14,0.87,0.07
high,2007,94.47,4.48,0.15,0.84,0.06
high,2008,94.52,4.45,0.15,0.81,0.06
high,2009,94.58,4.42,0.16,0.79,0.06
high,2010,94.67,4.35,0.16,0.76,0.06
high,2011,94.77,4.27,0.17,0.74,0.05
high,2012,94.89,4.17,0.17,0.72,0.05
high,2013,95,4.08,0.17,0.7,0.05
high,2014,95.11,4,0.18,0.67,0.04
high,2015,95.2,4.14,0.06,0.58,0.01
high,2016,95.29,4.07,0.06,0.57,0.01
high,2017,95.37,4.01,0.06,0.55,0.01
high,2018,95.44,3.94,0.06,0.54,0.01
high,2019,95.51,3.88,0.06,0.53,0.01
high,2020,95.59,3.81,0.06,0.53,0.01
high,2021,94.2,5.2,0.06,0.52,0.01
high,2022,94.3,5.12,0.06,0.51,0.01
low,2000,18.91,22.51,10.15,31.68,16.76
low,2001,19.05,22.94,10.5,31.18,16.33
low,2002,19.28,23.37,10.87,30.62,15.86
low,2003,19.56,23.8,11.28,29.99,15.37
low,2004,19.86,24.24,11.7,29.33,14.87
low,2005,20.22,24.7,12.15,28.64,14.29
low,2006,20.66,25.12,12.6,27.92,13.7
low,2007,21.14,25.52,13.04,27.2,13.11
low,2008,21.61,25.94,13.48,26.46,12.51
low,2009,22.05,26.35,13.92,25.75,11.93
low,2010,22.53,26.75,14.35,25.02,11.35
low,2011,22.58,27.38,14.96,24.1,10.98
low,2012,23.01,27.74,15.41,23.43,10.41
low,2013,23.35,28.12,15.89,22.82,9.82
low,2014,23.71,28.47,16.36,22.19,9.26
low,2015,24.18,28.78,16.83,21.52,8.69
low,2016,24.74,29.05,17.28,20.83,8.11
low,2017,25.32,29.32,17.71,20.16,7.49
low,2018,25.99,29.53,18.14,19.43,6.91
low,2019,26.71,29.72,18.56,18.68,6.33
low,2020,27.42,29.92,18.95,17.92,5.79
low,2021,28.09,30.15,19.32,17.11,5.33
low,2022,28.6,30.46,19.6,16.44,4.89
lower-middle,2000,44.1,33.44,4.35,12.84,5.27
lower-middle,2001,44.85,33.25,4.37,12.37,5.16
lower-middle,2002,45.61,33.05,4.37,11.96,5
lower-middle,2003,46.39,32.86,4.37,11.54,4.85
lower-middle,2004,47.24,32.57,4.38,11.12,4.69
lower-middle,2005,48.15,32.19,4.42,10.71,4.53
lower-middle,2006,49.08,31.82,4.43,10.3,4.38
lower-middle,2007,50.01,31.44,4.44,9.89,4.22
lower-middle,2008,50.47,31.53,4.44,9.48,4.07
lower-middle,2009,51.49,31.07,4.45,9.08,3.92
lower-middle,2010,52.5,30.61,4.45,8.67,3.76
lower-middle,2011,53.52,30.15,4.45,8.27,3.61
lower-middle,2012,54.6,29.62,4.44,7.88,3.46
lower-middle,2013,55.69,29.09,4.43,7.48,3.31
lower-middle,2014,56.76,28.58,4.42,7.09,3.15
lower-middle,2015,57.74,28.16,4.4,6.7,3
lower-middle,2016,58.7,27.76,4.38,6.31,2.85
lower-middle,2017,59.64,27.37,4.35,5.93,2.71
lower-middle,2018,60.56,27.02,4.31,5.55,2.56
lower-middle,2019,61.46,26.68,4.28,5.15,2.43
lower-middle,2020,62.32,26.34,4.26,4.76,2.31
lower-middle,2021,63.17,26.04,4.24,4.35,2.2
lower-middle,2022,63.8,25.83,4.24,4.03,2.1
upper-middle,2000,69.02,14.29,0.71,13.39,2.58
upper-middle,2001,69.26,14.45,0.7,13.06,2.52
upper-middle,2002,70.21,14.36,0.72,12.25,2.46
upper-middle,2003,70.89,14.52,0.74,11.46,2.39
upper-middle,2004,71.55,14.67,0.76,10.7,2.33
upper-middle,2005,72.2,14.81,0.77,10.02,2.19
upper-middle,2006,72.84,14.94,0.79,9.37,2.05
upper-middle,2007,73.47,15.06,0.8,8.75,1.92
upper-middle,2008,74.08,15.18,0.82,8.15,1.78
upper-middle,2009,74.65,15.3,0.84,7.55,1.65
upper-middle,2010,75.21,15.42,0.86,6.98,1.53
upper-middle,2011,75.74,15.54,0.88,6.43,1.41
upper-middle,2012,76.25,15.67,0.89,5.9,1.29
upper-middle,2013,76.78,15.74,0.91,5.39,1.18
upper-middle,2014,77.31,15.8,0.92,4.9,1.06
upper-middle,2015,77.82,15.86,0.94,4.43,0.95
upper-middle,2016,78.31,15.92,0.95,3.98,0.85
upper-middle,2017,78.78,15.95,0.96,3.48,0.83
upper-middle,2018,79.23,16,0.97,3.06,0.74
upper-middle,2019,79.64,16.08,0.98,2.67,0.63
upper-middle,2020,80.01,16.18,0.97,2.32,0.53
upper-middle,2021,80.35,16.4,0.83,1.95,0.47
upper-middle,2022,80.62,16.72,0.61,1.58,0.46
